NITERACOES,20
iter,0
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,1,2,0,0,0,0,0,0
0,0,0,2,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,2,0,0,0,0
0,0,0,1,0,0,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,63.888888888888886
iter,6
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,1,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,1,2,0,0,0,0,0,0
0,0,0,2,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,2,0,0,0,0
0,0,0,1,0,0,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,69.44444444444444
iter,7
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,0,0,0,0,1
0,3,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,0,0
0,0,0,2,1,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,1,2,0,0,0,0,0,0
0,0,0,2,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,1,1,0,0,0
0,0,0,1,0,0,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,72.22222222222221
iter,8
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,1,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,2,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,1,2,0,0,0,0,0,0
0,0,0,2,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,1,1,0,0,0
0,0,0,1,0,0,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,69.44444444444444
iter,9
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,1,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,0,1,2,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,1,2,0,0,0,0,0,0
0,0,0,2,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,2,0,0,0,0
0,0,0,1,0,0,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,63.888888888888886
iter,10
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,0,1,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,1,2,0,0,0,0,0,0
0,0,0,2,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,2,1,0,0,0
0,0,0,1,0,0,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,77.77777777777779
iter,11
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,0,1,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,2,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,1,0,0,0
0,0,0,0,0,2,0,0,1,0,0,0
0,0,2,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,3,0,0,0,0
0,0,1,0,0,0,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,72.22222222222221
iter,12
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,0,0,0,0,1
0,3,0,0,0,0,0,0,0,0,0,0
0,0,1,2,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,1,2,0,0,0,0,0,0
0,0,2,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,3,0,0,0,0
0,0,1,0,0,0,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,75.0
iter,13
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,1,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,2,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,1,0,0,0
0,0,0,0,0,2,0,0,1,0,0,0
0,0,0,2,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,1,1,0,0,0
0,0,0,1,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,2,1,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,66.66666666666666
iter,14
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,0,0,0,0,1
0,3,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,2,0,0,0,0
0,0,0,2,1,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,1,0,0,0
0,0,0,0,0,2,0,0,1,0,0,0
0,0,0,2,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,2,0,0,0,0
0,0,0,1,0,0,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,66.66666666666666
iter,15
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,0,0,0,0,1
0,3,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,2,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,1,0,0,0
0,0,0,0,0,2,0,0,1,0,0,0
0,0,0,2,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,1,1,0,0,0
0,0,0,1,0,0,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,66.66666666666666
iter,16
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,1,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,0,1,2,0,0,0,0,0,0,0,0
0,0,0,2,1,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,1,0,0,0
0,0,0,0,0,2,0,0,1,0,0,0
0,0,0,2,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,1,1,0,0,0
0,0,0,1,0,0,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,63.888888888888886
iter,17
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,0,1,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,2,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,1,0,0,0
0,0,0,0,0,2,0,0,1,0,0,0
0,0,2,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,2,1,0,0,0,0
0,0,1,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,1,2,0,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,66.66666666666666
iter,18
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,1,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,2,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,1,2,0,0,0,0,0,0
0,0,0,2,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,1,1,0,0,0
0,0,0,1,0,0,0,1,1,0,0,0
0,0,0,0,0,1,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,69.44444444444444
iter,19
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,1,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,2,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,0,0
0,0,0,2,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,1,1,0,0,0
0,0,0,1,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,1,2,0,0
0,0,0,0,0,1,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,58.333333333333336
MATRIZ DE CONFUSAO ACUMULADA
2,0
40,0,0,0,1,1,6,2,6,0,0,4
0,60,0,0,0,0,0,0,0,0,0,0
0,0,28,10,0,0,4,12,4,2,0,0
0,0,0,48,12,0,0,0,0,0,0,0
0,0,0,0,52,0,0,0,8,0,0,0
0,0,1,1,12,38,0,0,8,0,0,0
4,0,8,28,0,1,19,0,0,0,0,0
0,0,0,0,0,15,3,32,10,0,0,0
1,0,4,15,0,0,0,20,20,0,0,0
0,0,0,0,14,1,1,0,4,39,1,0
0,0,0,0,0,1,0,0,0,0,59,0
0,0,0,0,0,0,0,0,0,0,0,60
